Id,Prediction
r9_c4,5
r8_c4,5
r4_c4,5
r10_c4,3
r2_c4,4
r6_c4,5
r3_c4,5
r5_c4,5
r7_c4,5
r1_c4,5
r9_c7,5
r4_c7,5
r10_c7,5
r2_c7,5
r6_c7,1
r3_c7,5
r5_c7,5
r7_c7,5
r1_c7,5
r9_c10,5
r8_c10,5
r4_c10,5
r10_c10,5
r2_c10,5
r6_c10,3
r3_c10,5
r5_c10,5
r7_c10,5
r1_c10,5
r9_c5,5
r8_c5,3
r4_c5,5
r10_c5,5
r2_c5,5
r6_c5,5
r3_c5,5
r5_c5,5
r7_c5,4
r1_c5,5
r9_c1,5
r8_c1,2
r4_c1,2
r10_c1,5
r2_c1,5
r6_c1,4
r3_c1,5
r5_c1,5
r7_c1,5
r1_c1,5
r9_c9,5
r8_c9,4
r4_c9,5
r2_c9,5
r6_c9,5
r3_c9,5
r5_c9,5
r1_c9,5
r9_c3,5
r8_c3,5
r4_c3,5
r10_c3,5
r2_c3,4
r6_c3,5
r3_c3,5
r5_c3,5
r7_c3,5
r1_c3,5
r9_c6,4
r8_c6,5
r4_c6,5
r10_c6,5
r2_c6,5
r6_c6,5
r3_c6,5
r5_c6,5
r7_c6,5
r1_c6,5
r8_c2,5
r4_c2,5
r10_c2,5
r2_c2,5
r6_c2,5
r3_c2,5
r5_c2,4
r7_c2,5
r1_c2,5
r9_c8,5
r8_c8,5
r4_c8,5
r10_c8,5
r2_c8,5
r6_c8,5
r3_c8,5
r5_c8,5
r7_c8,5
r1_c8,5
